진료년도,시도,시군구,성별,연령군,환자수,입내원일수,요양급여비용총액
2023,서울,도봉구,남,20~29세,0,0,0
2023,서울,도봉구,남,30~39세,0,0,0
2023,서울,도봉구,남,40~49세,0,0,0
2023,서울,도봉구,남,50~59세,0,0,0
2023,서울,도봉구,남,60~69세,57,1351,137032550
2023,서울,도봉구,남,70~79세,305,2604,246726130
2023,서울,도봉구,남,80~89세,588,5845,548898600
2023,서울,도봉구,남,90~99세,116,1995,187289990
2023,서울,도봉구,남,100세 이상,0,0,0
2023,서울,도봉구,여,0~9세,0,0,0
2023,서울,도봉구,여,10~19세,0,0,0
2023,서울,도봉구,여,20~29세,0,0,0
2023,서울,도봉구,여,30~39세,0,0,0
2023,서울,도봉구,여,40~49세,0,0,0
2023,서울,도봉구,여,50~59세,0,0,0
2023,서울,도봉구,여,60~69세,74,1504,138959930
2023,서울,도봉구,여,70~79세,416,6063,549806330
2023,서울,도봉구,여,80~89세,1334,20879,1860386420
2023,서울,도봉구,여,90~99세,401,12147,1026966670
2023,서울,도봉구,여,100세 이상,0,0,0
2023,서울,동대문구,남,0~9세,0,0,0
2023,서울,동대문구,남,10~19세,0,0,0
2023,서울,동대문구,남,20~29세,0,0,0
2023,서울,동대문구,남,30~39세,0,0,0
2023,서울,동대문구,남,40~49세,0,0,0
2023,서울,동대문구,남,50~59세,18,55,8008460
2023,서울,동대문구,남,60~69세,116,1199,119919810
2023,서울,동대문구,남,70~79세,414,3938,398917520
2023,서울,동대문구,남,80~89세,673,8085,867697430
2023,서울,동대문구,남,90~99세,101,2138,204464670
2023,서울,동대문구,남,100세 이상,0,0,0
2023,서울,동대문구,여,0~9세,0,0,0
2023,서울,동대문구,여,10~19세,0,0,0
2023,서울,동대문구,여,20~29세,0,0,0
2023,서울,동대문구,여,30~39세,0,0,0
2023,서울,동대문구,여,40~49세,0,0,0
2023,서울,동대문구,여,50~59세,25,180,20412960
2023,서울,동대문구,여,60~69세,182,1616,201951760
2023,서울,동대문구,여,70~79세,730,8153,858717760
2023,서울,동대문구,여,80~89세,1603,31655,3033577360
2023,서울,동대문구,여,90~99세,407,10547,941309580
2023,서울,동대문구,여,100세 이상,13,753,64368410
2023,서울,동작구,남,0~9세,0,0,0
2023,서울,동작구,남,10~19세,0,0,0
2023,서울,동작구,남,20~29세,0,0,0
2023,서울,동작구,남,30~39세,0,0,0
2023,서울,동작구,남,40~49세,0,0,0
2023,서울,동작구,남,50~59세,11,37,3630230
2023,서울,동작구,남,60~69세,79,850,77709220
2023,서울,동작구,남,70~79세,429,1750,192599590
2023,서울,동작구,남,80~89세,682,3835,318467190
2023,서울,동작구,남,90~99세,105,819,64873100
2023,서울,동작구,남,100세 이상,0,0,0
2023,서울,동작구,여,0~9세,0,0,0
2023,서울,동작구,여,10~19세,0,0,0
2023,서울,동작구,여,20~29세,0,0,0
2023,서울,동작구,여,30~39세,0,0,0
2023,서울,동작구,여,40~49세,0,0,0
2023,서울,동작구,여,50~59세,24,93,13878660
2023,서울,동작구,여,60~69세,156,594,67544080
2023,서울,동작구,여,70~79세,738,3730,367819050
2023,서울,동작구,여,80~89세,1554,11900,1026390270
2023,서울,동작구,여,90~99세,408,4917,397915450
2023,서울,동작구,여,100세 이상,12,35,935160
2023,서울,마포구,남,0~9세,0,0,0
2023,서울,마포구,남,10~19세,0,0,0
2023,서울,마포구,남,20~29세,0,0,0
2023,서울,마포구,남,30~39세,0,0,0
2023,서울,마포구,남,40~49세,0,0,0
2023,서울,마포구,남,50~59세,0,0,0
2023,서울,마포구,남,60~69세,20,60,4844580
2023,서울,마포구,남,70~79세,119,732,48550740
2023,서울,마포구,남,80~89세,243,1637,111828940
2023,서울,마포구,남,90~99세,63,569,41641580
2023,서울,마포구,남,100세 이상,0,0,0
2023,서울,마포구,여,0~9세,0,0,0
2023,서울,마포구,여,10~19세,0,0,0
2023,서울,마포구,여,20~29세,0,0,0
2023,서울,마포구,여,30~39세,0,0,0
2023,서울,마포구,여,40~49세,0,0,0
2023,서울,마포구,여,50~59세,0,0,0
2023,서울,마포구,여,60~69세,58,265,17039370
2023,서울,마포구,여,70~79세,225,1976,153468770
2023,서울,마포구,여,80~89세,567,4607,291984670
2023,서울,마포구,여,90~99세,192,1856,109593840
2023,서울,마포구,여,100세 이상,10,126,7415270
2023,서울,서대문구,남,0~9세,0,0,0
2023,서울,서대문구,남,10~19세,0,0,0
2023,서울,서대문구,남,20~29세,0,0,0
2023,서울,서대문구,남,30~39세,0,0,0
2023,서울,서대문구,남,40~49세,0,0,0
2023,서울,서대문구,남,50~59세,34,273,25179960
2023,서울,서대문구,남,60~69세,167,1095,121299740
2023,서울,서대문구,남,70~79세,425,4196,427920140
2023,서울,서대문구,남,80~89세,668,7395,668167990
2023,서울,서대문구,남,90~99세,96,2431,205666670
2023,서울,서대문구,남,100세 이상,0,0,0
2023,서울,서대문구,여,0~9세,0,0,0
2023,서울,서대문구,여,10~19세,0,0,0
2023,서울,서대문구,여,20~29세,0,0,0
2023,서울,서대문구,여,30~39세,0,0,0
